"","text","score","polarity"
"1","'Ukraine Will Win This War,' Says Top Czech Envoy
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/fszOvvuOQ5",0,"Netral"
"2","@PaulHatchM @BearGrylls You mean the area that Russia instigated part of the population to declare civil war then supported them with weapons and troops and Ukraine did what literally any country would to prevent dissolution of their country?",0,"Netral"
"3","@JohnronP @Maks_NAFO_FELLA Russia has shown resilience against western countries encroachment to its borders. You claim Putin have a blood on his hand, consider Iraq, Afghanistan, Libya,Syria as well, who has a lot of blood in his hand compared with current proxy war in Ukraine,?",-1,"Negatif"
"4","@JaneWanter @JoshuaPHilll Lmao somehow the Russia-Ukraine war is America's fault now?",-1,"Negatif"
"5","Russia vs. Ukraine: A War At Sea That Changed History? - https://t.co/dtrZbtjemI",0,"Netral"
"6","28 Nov: Satellite Footage EXPOSES WEAKNESS in Russian Defense | War in Ukraine Explained
#America #Russia #Ukraine #war #europe #UkraineRussiaWar
https://t.co/SwOjouTDIB",0,"Netral"
"7","@Gh3ttoAstronaut @nazarkareem @DoctorGerhard Russia does not have superiority militarily. But it is very stubborn. So is Ukraine. This war will go back and forth I fear - by driving sponsoring Europe and US mad.",0,"Netral"
"8","@Gerashchenko_en @michael_wasiura @Newsweek I totally agree with you! Russia needs to know NATO and us will keep supporting you in Ukraine! But the loss of lives is so great 😰
I sometimes feel this war is a dream! But sadly it's real and it is affecting all of us 👍",0,"Netral"
"9","IMF Managing Director Kristalina Georgieva says that the war in #Ukraine has gone beyond its origin affecting global economy, informs that the chance of global growth falling below 2% next year was increasing due to Ukraine-Russia conflict",-2,"Negatif"
"10","Sanctions on Russia Are Working. Here’s Why.
https://t.co/TQsexk4o20",0,"Netral"
"11","As many as 13,000 Ukrainian troops have been killed since Russia's invasion in February, a senior adviser to President Volodymyr Zelensky has said.  https://t.co/MIM48ugwXE",-1,"Negatif"
