"","X","text","score","polarity"
"1",1,"ukraine win war says top czech envoy ",0,"Netral"
"2",2," mean area russia instigated part population declare civil war supported weapons troops ukraine literally country prevent dissolution country",0,"Netral"
"3",3," russia shown resilience western countries encroachment borders claim putin blood hand consider iraq afghanistan libyasyria well lot blood hand compared current proxy war ukraine",-1,"Negatif"
"4",4," lmao somehow russiaukraine war americas fault ",-1,"Negatif"
"5",5,"russia vs ukraine war sea changed history ",0,"Netral"
"6",6," nov satellite footage exposes weakness russian defense war ukraine explained ",0,"Netral"
"7",7," russia superiority militarily stubborn ukraine war go back forth fear driving sponsoring europe us mad",0,"Netral"
"8",8," totally agree russia needs know nato us keep supporting ukraine loss lives great sometimes feel war dream sadly real affecting us ",0,"Netral"
"9",9,"imf managing director kristalina georgieva says war gone beyond origin affecting global economy informs chance global growth falling next year increasing due ukrainerussia conflict",-2,"Negatif"
"10",10,"sanctions russia working heres ",0,"Netral"
"11",11," many ukrainian troops killed since russias invasion february senior adviser president volodymyr zelensky said ",-1,"Negatif"
"12",12," eu edging closer setting perbarrel price cap russian oil complicated political economic plan designed keep russias supplies flowing global markets clamping moscows ability fund war ukraine ",-1,"Negatif"
"13",13,"us france pledge hold russia accountable war crimes ukraine ",0,"Netral"
"14",14,"russia accuses us direct ukraine war role says open potential talks ",-1,"Negatif"
"15",15,"cbc news battle small city bakhmut important russia ukraine via ",1,"Positif"
"16",16," un absolutely nothing war ukraine theres clearly criminal party russia clearly innocent attacked ukraine united nations supposed able maintain peace clearly impotent un anything",3,"Positif"
"17",17,"ukraine war russia making gains ",0,"Netral"
"18",18," hope dont see unless certain powerful faction gets kneecapped russiaukraine war china might catalysts ",1,"Positif"
"19",19," insane man think death soldiers huge shame brought somehow acceptable modern times bbcukraine war aide reveals war dead ",-3,"Negatif"
"21",21,"russia ukraine war map november day invasion military summary latest news today ",0,"Netral"
"22",22," th suspected letter bomb intercepted spain us embassy russia condemns eu proposal create special tribunal ukraine war azerbaijan slams new french parliamentary resolution provocation morning briefing dec ",-2,"Negatif"
"23",23," pipeline germany began construction completed invasion ukraine started potus kept existing sanctions russia added threat war realized sanctions wrote write back napkin ",-1,"Negatif"
"24",24,"presidents vowed maintain united front thursday amid growing worries waning support war effort us europe ",-1,"Negatif"
"25",25,"usuae relations turned diplomatic battleground due russias war ukraine ",1,"Positif"
"26",26,"leaked kremlin poll shows russians want see negotiations ukraine end war one side beneficial negotiation fair outcome negotiation russia try even overcome negotiating like trying war",3,"Positif"
"27",27," know ted cruz alternate history version theres war russia ukraine bidens fault ",0,"Netral"
"28",28," important stop funding war machine russia ukraine want isnt usa problem world police",1,"Positif"
"29",29," using ukraine awardwinning journalist aaron maté explains peace talks stopped russia ukraine also us using ukraine weaken russia without direct conflict via ",0,"Netral"
"30",30," thought war ukraine started russia putin invaded sovereign country ted cruz plays chess rest us play checkers",0,"Netral"
"31",31," gained first month war since ukraine taken back gains kharkiv oblast free russians lyman back izyum back kherson back russia hasnt taken anything since july except couple km around bakhmut ru army sucks",2,"Positif"
"32",32,"ukraine war update full frontline update bakhmut analysis ",0,"Netral"
"33",33,"ukraines armed forces lost soldiers since russian invasion official says world news ukraines armed forces lost soldiers far war russia presidential adviser mykhailo podolyak h ",-2,"Negatif"
"34",34,"like first world war russia ukraine take heavy losses putin eyes desperate bakhmut win ",0,"Netral"
"35",35," side nuclear war usa russia nobody going nuke kiev anywhere ukraine europe geez louise assuming wont fatal miscalculation serious misunderstanding late stage armageddon game",-2,"Negatif"
"36",36," sum moor even forced join war allied free land gtgtgtsame chechens soldier ukraine russia",1,"Positif"
"37",37," say true ted cruz wouldnt russia start war usa instead ukraine tweet doesnt make sense",0,"Netral"
"38",38,"russiaukraine war glance know day invasion ",0,"Netral"
"39",39," dont hold breath europe realising late destroyed industry canabilised us expel us bases countries refuse take part ongoing destruction ukraine us proxy war russia much doubt ",-4,"Negatif"
"40",40,"biden macron say russia must leave ukraine war end ",0,"Netral"
"41",41," resolve hold accountable atrocities crimes ",0,"Netral"
"42",42," general patton given ok invade russia war ukraine wld never happened ",0,"Netral"
"43",43," paper support actually india israel intel technology sharing happens ground level like india saying condemn russia war ukraine buying petrol russia doesnt fall due economy sanctions loss",0,"Netral"
"44",44," ive noticed havent seen single tweet russia ukraine war month either",0,"Netral"
"45",45,"biden macron say russia must leave ukraine war toend ",0,"Netral"
"47",47,"ukraine war latest biden says hes prepared speak putin ending war ",0,"Netral"
"48",48," russia poor ussr provided free education healthcare housing abolished homelessness capitalism russia done started war ukraine currently taking innocent lives",1,"Positif"
"49",49," pledge hold accountable war crimes ",0,"Netral"
"50",50," nov ukraine war map russia lose control bakhmut war ukraine explained ",0,"Netral"
"51",51,"historic victory ukraine war russia via ",0,"Netral"
"52",52,"russia committed billion euros damage ukraine russian assets must pay full reconstruction ukraine russian war criminals must pay ordering carrying genocide crimes ukraine stop terrorussia never ",-2,"Negatif"
"53",53," many different layers existing within space ww wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas ",0,"Netral"
"54",54,"morally also questionable well since didnt accommodate russia security concerns ukraine approached russia february likely averting war prevented ukraine signing neutrality agreement russia march mediated ankara",-1,"Negatif"
"55",55," russia defeated without single american loss direct confrontation russia result nuclear war supporting ukraine best opportunity lifetime rid russia threat",0,"Netral"
"56",56,"live tv russia ukraine conflict putin zelenskyy drone attack cold attack world war news ",0,"Netral"
"57",57," lord pray war russia ukraine help us find way end destruction lives",-1,"Negatif"
"58",58,"ukraine nato allies facing major issue retired general warns europe creating lots jobs making munitions us fine tuning manufacturing bombs rockets drones thanks russia ",0,"Netral"
"59",59," clone organic robot ww wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas ",0,"Netral"
"60",60,"although russiaukraine war raised questions utility cyber operations war still provides valuable insight cyber dimension modern war might look like ",2,"Positif"
"61",61," consciousness soul replicate ww wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas ",0,"Netral"
"62",62," happening reflection freedom libel gods people must bring justice lions share free brothers sisters beauty war",3,"Positif"
"63",63," zelensky ukraine people fighting war us cant russia still considered major rival us wasnt ukraine us greatest power trump bent putin weakened us ",-1,"Negatif"
"64",64," one jinn controlling fifty different organic beings ww wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas ",0,"Netral"
"65",65," yea russia occupying ukraine crimea donbas war started russia lost taken land year",-1,"Negatif"
"66",66,"choice small meatgrinder escapeukraine war footage ",0,"Netral"
"67",67," russia ukraine war amarica got bitter experience firstly hole warld suffering economy crices except india strong economy dession india russia tryup business transaction rupee ruble instad doller",-1,"Negatif"
"68",68,"ukraine sees deaths day civilians struggle heat homes russian attacks cbc news time stop madness",-2,"Negatif"
"69",69," war ukraine caused putin wants reestablish russian empire prevent democratic encirclement around russia wipe ukrainian culture people ",0,"Netral"
