created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-12-02T04:08:03Z,1598529401502703600,1598529401502703616,"'Ukraine Will Win This War,' Says Top Czech Envoy
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/fszOvvuOQ5",FALSE,120,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"'Ukraine Will Win This War,' Says Top Czech Envoy
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/fszOvvuOQ5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
2022-12-02T04:07:53Z,1598529359228596200,1598529359228596225,@PaulHatchM @BearGrylls You mean the area that Russia instigated part of the population to declare civil war then supported them with weapons and troops and Ukraine did what literally any country would to prevent dissolution of their country?,FALSE,242,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1598398684236054500,1598398684236054529,1490975257355858e3,1490975257355857923,PaulHatchM,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,@PaulHatchM @BearGrylls You mean the area that Russia instigated part of the population to declare civil war then supported them with weapons and troops and Ukraine did what literally any country would to prevent dissolution of their country?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
2022-12-02T04:06:49Z,1598529091430486e3,1598529091430486016,"@JohnronP @Maks_NAFO_FELLA Russia has shown resilience against western countries encroachment to its borders. You claim Putin have a blood on his hand, consider Iraq, Afghanistan, Libya,Syria as well, who has a lot of blood in his hand compared with current proxy war in Ukraine,?",FALSE,280,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1598179448201023500,1598179448201023488,2317537004,2317537004,JohnronP,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,"@JohnronP @Maks_NAFO_FELLA Russia has shown resilience against western countries encroachment to its borders. You claim Putin have a blood on his hand, consider Iraq, Afghanistan, Libya,Syria as well, who has a lot of blood in his hand compared with current proxy war in Ukraine,?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
2022-12-02T04:06:05Z,1598528909573693400,1598528909573693440,@JaneWanter @JoshuaPHilll Lmao somehow the Russia-Ukraine war is America's fault now?,FALSE,85,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1598478245812473900,1598478245812473856,1543111478093533200,1543111478093533185,JaneWanter,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,@JaneWanter @JoshuaPHilll Lmao somehow the Russia-Ukraine war is America's fault now?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
2022-12-02T04:05:59Z,1598528883338322e3,1598528883338321920,Russia vs. Ukraine: A War At Sea That Changed History? - https://t.co/dtrZbtjemI,FALSE,80,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,Russia vs. Ukraine: A War At Sea That Changed History? - https://t.co/dtrZbtjemI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
2022-12-02T04:05:34Z,1598528776845009e3,1598528776845008896,"28 Nov: Satellite Footage EXPOSES WEAKNESS in Russian Defense | War in Ukraine Explained
#America #Russia #Ukraine #war #europe #UkraineRussiaWar
https://t.co/SwOjouTDIB",FALSE,169,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"28 Nov: Satellite Footage EXPOSES WEAKNESS in Russian Defense | War in Ukraine Explained
#America #Russia #Ukraine #war #europe #UkraineRussiaWar
https://t.co/SwOjouTDIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
2022-12-02T04:05:17Z,1598528706796036e3,1598528706796036099,@Gh3ttoAstronaut @nazarkareem @DoctorGerhard Russia does not have superiority militarily. But it is very stubborn. So is Ukraine. This war will go back and forth I fear - by driving sponsoring Europe and US mad.,FALSE,211,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1598454392252162e3,1598454392252162050,3137220816,3137220816,Gh3ttoAstronaut,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,@Gh3ttoAstronaut @nazarkareem @DoctorGerhard Russia does not have superiority militarily. But it is very stubborn. So is Ukraine. This war will go back and forth I fear - by driving sponsoring Europe and US mad.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
2022-12-02T04:05:10Z,159852867848448e4,1598528678484480001,"@Gerashchenko_en @michael_wasiura @Newsweek I totally agree with you! Russia needs to know NATO and us will keep supporting you in Ukraine! But the loss of lives is so great 😰
I sometimes feel this war is a dream! But sadly it's real and it is affecting all of us 👍",FALSE,265,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1598329191220625400,1598329191220625408,1505481949854503e3,1505481949854502915,Gerashchenko_en,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,"@Gerashchenko_en @michael_wasiura @Newsweek I totally agree with you! Russia needs to know NATO and us will keep supporting you in Ukraine! But the loss of lives is so great 😰
I sometimes feel this war is a dream! But sadly it's real and it is affecting all of us 👍",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
2022-12-02T04:05:00Z,1598528634523771e3,1598528634523770881,"IMF Managing Director Kristalina Georgieva says that the war in #Ukraine has gone beyond its origin affecting global economy, informs that the chance of global growth falling below 2% next year was increasing due to Ukraine-Russia conflict",FALSE,239,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,1,FALSE,FALSE,NA,en,NA,NA,,"IMF Managing Director Kristalina Georgieva says that the war in #Ukraine has gone beyond its origin affecting global economy, informs that the chance of global growth falling below 2% next year was increasing due to Ukraine-Russia conflict",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
2022-12-02T04:04:30Z,1598528508741169200,1598528508741169152,"Sanctions on Russia Are Working. Here’s Why.
https://t.co/TQsexk4o20",FALSE,68,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Sanctions on Russia Are Working. Here’s Why.
https://t.co/TQsexk4o20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
